name_phylogeny,sd_min,sd_max,sd_mean,ld_min,ld_max,ld_mean,pd_min,pd_max,et_min,et_max,et_mean,st_mean,nt_mean
Pityrocarpa_obliqua_brasiliensis,22.500,27.500,25.500,25.000,37.500,32.150,,,,,,,
Pseudopiptadenia_bahiana,27.500,37.500,32.700,30.000,50.000,40.575,,,1.000,1.000,1.000,,
Pseudopiptadenia_brenanii,19.248,37.500,27.993,27.500,47.500,33.759,0.418,0.669,0.233,0.467,0.350,,
Pseudopiptadenia_contorta,16.872,37.500,27.513,30.000,47.500,37.520,0.522,0.815,0.209,0.376,0.293,,
Pseudopiptadenia_inaequalis,,,,,,43.000,,,,,,,
Pseudopiptadenia_leptostachya,,,,,,,,,,,,,
Pseudopiptadenia_psilostachya,,,,,,40.000,,,,,,,
Pseudopiptadenia_schumanniana,,,,,,42.000,,,,,,,
Pseudopiptadenia_suaveolens,,,,,,41.000,,,,,,,
Senegalia_nigrescens,,,,,,,,,,,,,
Stryphnodendron_adstringens,20.046,26.361,23.114,24.600,38.269,31.678,0.226,1.900,0.202,1.000,0.605,,
Stryphnodendron_confertum,,,,,,,1.600,2.000,0.800,1.300,1.050,,
Stryphnodendron_coriaceum,30.800,30.800,30.800,34.100,34.100,34.100,1.800,1.900,1.000,1.000,1.000,,
Stryphnodendron_cristalinae,27.000,27.000,27.000,34.100,34.100,34.100,1.600,2.000,0.800,1.300,1.050,,
Stryphnodendron_duckeanum,26.300,26.300,26.300,36.600,36.600,36.600,1.400,1.900,0.800,1.000,0.900,,
Stryphnodendron_fissuratum,40.500,,40.500,,58.600,63.300,2.400,,,,1.800,,
Stryphnodendron_foreroi,,,,24.600,36.600,30.600,1.400,1.900,0.800,1.000,0.900,,
Stryphnodendron_gracile,34.100,34.100,34.100,30.800,30.800,30.800,1.800,1.900,1.000,1.000,1.000,,
Stryphnodendron_guianense,,,,24.600,36.600,30.600,1.400,1.900,0.800,1.000,0.900,,
Stryphnodendron_heringeri,,,,24.600,36.600,30.600,1.400,1.900,0.800,1.000,0.900,,
Stryphnodendron_levelii,,,,,,,1.600,2.000,0.800,1.300,1.050,,
Stryphnodendron_microstachyum,,,,,,,1.600,2.000,0.800,1.300,1.050,,
Stryphnodendron_moricolor,44.500,44.500,44.500,57.600,57.600,57.600,3.200,5.500,1.500,2.000,1.750,,
Stryphnodendron_obovatum,,,,24.600,36.600,30.600,1.400,1.900,0.800,1.000,0.900,,
Stryphnodendron_occhionianum,31.100,31.100,31.100,47.900,47.900,47.900,3.200,3.500,1.400,2.000,1.700,,
Stryphnodendron_paniculatum,36.200,36.200,,44.500,44.500,44.500,3.200,5.500,1.500,2.000,1.750,,
Stryphnodendron_platyspicum,19.052,25.500,21.277,26.360,34.083,31.854,0.418,2.000,0.209,1.300,0.755,,
Stryphnodendron_polyphyllum,24.200,24.200,34.100,24.600,36.600,32.400,1.400,1.900,0.800,1.000,0.900,,
Stryphnodendron_polyphyllum_villosum,23.400,23.400,34.100,31.000,31.000,31.000,2.300,2.300,0.800,1.000,0.900,,
Stryphnodendron_polystachyum,32.000,32.000,34.100,46.600,46.600,46.600,3.200,3.500,1.400,2.000,1.700,,
Stryphnodendron_pulcherrimum,,,,24.600,36.600,30.600,1.400,1.900,0.800,1.000,0.900,,
Stryphnodendron_racemiferum,35.400,35.400,34.100,55.000,55.000,55.000,3.200,5.500,1.500,2.000,1.750,,
Stryphnodendron_rotundifolium,,,,24.600,36.600,31.800,1.400,1.900,0.800,1.000,0.900,,
Vachellia_farnesiana,29.721,39.990,36.244,35.903,42.614,39.587,1.124,2.088,0.861,1.476,1.169,,
